"mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","isotopes","adduct","pcgroup"
283.263038439939,283.260864257812,283.264892578125,1.774203,0.22334715,5.719176,58925.614595575,57722.8768815983,14366.0458984375,11,1,"","[M+K]+ 244.298 [M+Na]+ 260.272","203"
257.247668252783,257.247222900391,257.24853515625,1.774203,0.22334715,5.719176,190268.663189212,190263.05520059,44308.34375,44307,1,"","","203"
257.24751830855,257.246917724609,257.248046875,12.0568812,8.05116,16.0792284,219396.462520577,219388.434452177,37656.2578125,37655,1,"","","221"
262.636739273515,262.634765625,262.637390136719,16.841472,15.8516052,17.9390892,107831.812335879,107829.824255879,347316.6875,347316,1,"","","47"
169.960655971088,169.959884643555,169.961410522461,16.9587222,16.0792284,18.963957,109562.978949585,109296.283497455,349860.4375,460,1,"","[M+H]+ 168.955","47"
153.13867700706,153.13818359375,153.139007568359,17.3357202,16.1546022,22.14306,70827.6003875495,68185.3526165444,73527.421875,32,1,"","[M+H]+ 152.131 [2M+3H]3+ 228.193","47"
171.959499193365,171.958633422852,171.959945678711,17.034096,15.972729,19.8689508,82158.6856230667,81956.8461870574,263559.375,413,1,"","[M+K]+ 132.991","47"
229.199161237146,229.197601318359,229.199890136719,17.3357202,16.1546022,20.785569,47756.6308634123,47438.4537270616,134342.03125,138,1,"","[3M+2H]2+ 152.131 [M+H]+ 228.193","47"
194.97552487162,194.974670410156,194.976028442383,16.9587222,15.972729,20.7101952,195649.274181856,195321.341606348,790855.125,856,1,"","","47"
189.980266951995,189.97966003418,189.980941772461,17.1849708,15.972729,20.6346942,94671.7870207244,92906.5717296144,155471.109375,80,1,"","","47"
167.963858210428,167.963241577148,167.964126586914,17.034096,15.972729,21.6151878,193679.801518593,191669.474537591,697508.3125,383,1,"","","47"
273.253754146406,273.25244140625,273.254943847656,17.3357202,16.1546022,20.1755778,94913.3574732642,93333.4390552684,132986.671875,63,1,"","","47"
155.974640952772,155.973480224609,155.975448608398,17.1094698,17.034096,17.1849708,3499.54164902412,2534.17632375155,18907.001953125,139,1,"","[M+Na]+ 132.991","47"
244.191342237266,244.190338134766,244.192504882812,17.3357202,16.1546022,17.4865932,154633.702959686,148815.457393349,563695.3125,98,1,"","","47"
153.948828510748,153.948196411133,153.949295043945,16.9587222,15.972729,21.9168102,378844.793488528,374226.557846349,1511206.75,674,1,"","[M+K]+ 114.982 [M+Na]+ 130.962","47"
190.979804913894,190.978591918945,190.980346679688,16.9587222,15.972729,20.7101952,503373.13860616,497836.414141554,1934545.125,655,1,"","","47"
259.169386186497,259.167541503906,259.171325683594,18.6623352,13.2089994,21.6905628,275390.995865638,275382.514302238,51211.41796875,51210,1,"","","210"
151.95003659369,151.949203491211,151.950210571289,16.9587222,15.972729,22.14306,541370.343286473,532087.537855551,2100398.25,728,1,"","[M+H-H2O]+ 168.955","47"
228.196384746995,228.195663452148,228.196868896484,17.3357202,16.1546022,17.4865932,276536.802987651,272177.172357863,943244.5625,191,1,"","","47"
169.049630630937,169.049102783203,169.050109863281,18.5420838,12.8761248,24.666042,366595.803667042,349345.900619908,51757.66015625,10,1,"","[M+K]+ 130.085","139"
153.054990288401,153.054504394531,153.055618286133,17.7882162,14.0482428,20.7101952,303344.94301544,303338.176970034,80329.3046875,80328,1,"","[M+K]+ 114.089","139"
153.05500645895,153.054489135742,153.055587768555,27.0072762,26.6301534,27.0826512,27855.5165190755,27854.9886049755,61584.0390625,68442,1,"","","153"
153.054860837298,153.05387878418,153.055328369141,7.2895392,2.18145294,14.0482428,238011.14953431,237999.16040641,25984.6640625,25984,1,"","[M+Na]+ 130.071","213"
153.054966865267,153.054504394531,153.055374145508,21.7659378,21.5396892,21.841437,19659.4732549512,19659.0960702012,59273.63671875,69685,1,"","","197"
264.873617861939,264.872406005859,264.874450683594,17.034096,16.9587222,17.1094698,9251.86292819173,8879.85128818216,50132.0703125,381,1,"","","47"
287.889304584792,287.8876953125,287.890258789062,16.9587222,15.8516052,21.1626918,544764.288592253,514316.321842213,1841926.375,180,1,"","","47"
171.043885095889,171.043258666992,171.044723510742,31.7072418,30.5443752,32.8804872,30012.2189494062,30010.1424054062,23937.2890625,23936,1,"","","48"
216.000927268406,215.999633789062,216.001434326172,31.7072418,30.5443752,32.613363,91206.0435662255,91204.103890163,85384.5625,85384,1,"","","48"
226.012364417487,226.011871337891,226.013305664062,31.832616,30.5443752,33.1834848,39214.4693674848,39212.3580798048,38460.00390625,38459,1,"","[M+H-NH3]+ 242.028","48"
234.92378092762,234.923156738281,234.924194335938,31.7072418,30.5443752,32.613363,143475.605063752,143473.66538769,150811.421875,150810,1,"","[M+Na]+ 211.934","48"
